date,label,source_url,record_id,issue_id,event_type,date_basis,event_timestamp_utc,fieldwork_start,fieldwork_end,causal_status
2026-07-14,Senate Facts - 119th Congress party lineup,https://www.dailypress.senate.gov/on-the-floor/senate-facts/,E02,taxes_fiscal,official_release_or_dated_context,dated source action/release; exact intraday availability not verified,,,,Context for event review; no clean or causal shock designation; check overlapping news.
2026-07-16,"Poll: Costs Are the Top Health Care Issue for Voters in the Midterms, But Fraud Tops Republicans' List As Trump Administration Pushes Crackdown",https://www.kff.org/public-opinion/poll-costs-are-the-top-health-care-issue-for-voters-in-the-midterms-but-fraud-tops-republicans-list-as-trump-administration-pushes-crackdown/,P08,healthcare,survey_release,publication_date; underlying poll fieldwork is earlier,,2026-06-25,2026-06-30,Context for event review; no clean or causal shock designation; check overlapping news.
2026-07-23,"As the 2026 midterms approach, economy is front and center",https://www.pewresearch.org/politics/2026/07/23/as-the-2026-midterms-approach-economy-is-front-and-center/,P01,affordability_inflation,survey_release,publication_date; underlying poll fieldwork is earlier,,2026-07-06,2026-07-12,Context for event review; no clean or causal shock designation; check overlapping news.
2026-07-23,Americans' evaluations of the economy remain negative,https://www.pewresearch.org/politics/2026/07/23/americans-evaluations-of-the-economy-remain-negative/,P02,affordability_inflation,survey_release,publication_date; underlying poll fieldwork is earlier,,2026-07-06,2026-07-12,Context for event review; no clean or causal shock designation; check overlapping news.
2026-07-23,USTR Takes Action in Forced Labor Section 301 Investigations,https://www.ustr.gov/about/policy-offices/press-office/press-releases/2026/july/ustr-takes-action-forced-labor-section-301-investigations,S08,trade_tariffs,policy_action_or_release,dated source action/release; exact intraday availability not verified,,,,Context for event review; no clean or causal shock designation; check overlapping news.
2026-07-27,U.S. Economic Confidence Improves in July,https://news.gallup.com/poll/713018/economic-confidence-improves-july.aspx,P03,affordability_inflation,survey_release,publication_date; underlying poll fieldwork is earlier,,2026-07-01,2026-07-19,Context for event review; no clean or causal shock designation; check overlapping news.
2026-07-29,Federal Reserve issues FOMC statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20260729a.htm,M01,fed_rates,official_release_or_dated_context,dated source action/release; exact intraday availability not verified,2026-07-29T18:00:00Z,,,Context for event review; no clean or causal shock designation; check overlapping news.
2026-08-03,Highlights from the 2026 NGA Summer Meeting,https://www.nga.org/news/press-releases/highlights-from-the-2026-nga-summer-meeting/,E04,electricity_datacenters,official_release_or_dated_context,dated source action/release; exact intraday availability not verified,,,,Context for event review; no clean or causal shock designation; check overlapping news.
2026-08-05,New Marquette Law School Poll national survey finds inflation and cost of living the most important issue; economy next most important,https://law.marquette.edu/poll/2026/08/05/new-marquette-law-school-poll-national-survey-finds-inflation-and-cost-of-living-the-most-important-issue-economy-next-most-important/,P05,electricity_datacenters,survey_release,publication_date; underlying poll fieldwork is earlier,,2026-07-22,2026-07-29,Context for event review; no clean or causal shock designation; check overlapping news.
2026-08-11,Wisconsin partisan primary (scheduled election date),https://www.bayfieldcounty.wi.gov/DocumentCenter/View/20824/Notice-of-Election-Partisan-Primary-August-11-2026-and-General-Election-November-3-2026,E06_primary,electricity_datacenters,election_calendar_event,official scheduled election date; not the notice publication date and not a verified results timestamp,,,,Nomination and turnout confound for governor odds; no clean issue shock designation.
2026-08-11,Short-Term Energy Outlook - August 2026,https://www.eia.gov/outlooks/steo/archives/aug26.pdf,M05,energy_iran,official_release_or_dated_context,dated source action/release; exact intraday availability not verified,,,,Context for event review; no clean or causal shock designation; check overlapping news.
2026-08-18,"Young adults in the U.S. are increasingly wary of AI, concerned it will take jobs",https://www.pewresearch.org/short-reads/2026/08/18/young-adults-in-the-us-are-increasingly-wary-of-ai-concerned-it-will-take-jobs/,P07,ai_jobs_regulation,survey_release,publication_date; underlying poll fieldwork is earlier,,2026-06-22,2026-06-28,Context for event review; no clean or causal shock designation; check overlapping news.
2026-08-18,Executive Order 2026-05 – Protecting Pennsylvania Consumers from Data Center Impacts,https://www.pa.gov/content/dam/copapwp-pagov/en/governor/documents/eo2026_05_protecting%20pennsylvania%20consumers%20from%20data%20center%20impacts_final_executed.pdf,S03,electricity_datacenters,policy_action_or_release,dated source action/release; exact intraday availability not verified,,,,Context for event review; no clean or causal shock designation; check overlapping news.
2026-08-19,Questions and Answers about the limitation on the deduction for business interest expense,https://www.irs.gov/pub/irs-drop/fs-2026-14.pdf,S09,taxes_fiscal,policy_action_or_release,dated source action/release; exact intraday availability not verified,,,,Context for event review; no clean or causal shock designation; check overlapping news.
2026-08-26,"Marquette Law Poll finds Crowley leading Tiffany among likely voters, tied among all registered voters",https://law.marquette.edu/poll/2026/08/26/marquette-law-poll-finds-crowley-leading-tiffany-among-likely-voters-tied-among-all-registered-voters/,P06,electricity_datacenters,survey_release,publication_date; underlying poll fieldwork is earlier,,2026-08-12,2026-08-20,Context for event review; no clean or causal shock designation; check overlapping news.
2026-09-04,Employment Situation News Release - August 2026,https://www.bls.gov/news.release/archives/empsit_09042026.htm,M02,jobs_growth,official_release_or_dated_context,dated source action/release; exact intraday availability not verified,2026-09-04T12:30:00Z,,,Context for event review; no clean or causal shock designation; check overlapping news.
