platform,title,observed_at,topics,matched_terms,sectors,relevance_score,exclude_reason,market_id,condition_id,event_id,series_id,volume,volume_unit,volume_24h,liquidity,liquidity_unit,end_date,rules,resolution_source,status,source_updated_at,active,accepting_orders,outcome,token_id,probability,price_source,bid,ask,spread,quality_flags,outcome_label,open_interest,market_type
polymarket,Will any state enact a data center moratorium by December 31?,2026-09-06T16:40:32.528574Z,"[""antitrust_tech"", ""data_centers_ai_power"", ""us_politics""]","{""us_politics"": [""governor"", ""veto""], ""data_centers_ai_power"": [""data center"", ""data centers""], ""antitrust_tech"": [""AI regulation""]}","[""advertising"", ""data_center_reits"", ""electrical_equipment"", ""hyperscalers"", ""internet_platforms"", ""media"", ""natural_gas"", ""policy_sensitive_sectors"", ""semiconductors"", ""software"", ""utilities""]",3,,2839991,0x86890a34212ed939729e0ae6ad88e10e57debc0b1a6e6d5a4aca6d6b5877d3dc,678716,,7929.7581770000015,USD_notional,,26408.97842,USD,2027-01-01T04:59:00Z,"This market will resolve to ""Yes"" if any U.S. state enacts legislation that establishes a statewide moratorium on new data centers by December 31, 2026, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

A qualifying moratorium must temporarily or indefinitely prohibit, suspend, or pause the approval, permitting, construction, connection to the electrical grid or other utility infrastructure, or operation of new data centers, or a defined category of new data centers, within that state.

Qualifying legislation includes any state bill that establishes such a data center moratorium.

Qualifying legislation must be enacted into law in accordance with the applicable state’s constitutional and legal procedures. This generally requires final passage by the relevant state legislature and approval by the governor, becoming law without signature, or taking effect through a veto override or other lawful mechanism. Legislation that does not become law under the applicable state process, including vetoed bills that do not take effect, does not qualify.

The primary resolution sources for this market will be official state legislative trackers, governor’s office announcements, secretary of state records, and other official information from the relevant state government; however, a consensus of credible reporting may also be used.",,active,2026-09-06T16:39:07.380692Z,True,True,Yes,60627611922741067460925016602165487743117047836226934701962220609565073390497,0.7305,gamma_outcome_price,0.727,0.734,0.007,[],,,
polymarket,Will any state enact a data center moratorium by December 31?,2026-09-06T16:40:32.528574Z,"[""antitrust_tech"", ""data_centers_ai_power"", ""us_politics""]","{""us_politics"": [""governor"", ""veto""], ""data_centers_ai_power"": [""data center"", ""data centers""], ""antitrust_tech"": [""AI regulation""]}","[""advertising"", ""data_center_reits"", ""electrical_equipment"", ""hyperscalers"", ""internet_platforms"", ""media"", ""natural_gas"", ""policy_sensitive_sectors"", ""semiconductors"", ""software"", ""utilities""]",3,,2839991,0x86890a34212ed939729e0ae6ad88e10e57debc0b1a6e6d5a4aca6d6b5877d3dc,678716,,7929.7581770000015,USD_notional,,26408.97842,USD,2027-01-01T04:59:00Z,"This market will resolve to ""Yes"" if any U.S. state enacts legislation that establishes a statewide moratorium on new data centers by December 31, 2026, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

A qualifying moratorium must temporarily or indefinitely prohibit, suspend, or pause the approval, permitting, construction, connection to the electrical grid or other utility infrastructure, or operation of new data centers, or a defined category of new data centers, within that state.

Qualifying legislation includes any state bill that establishes such a data center moratorium.

Qualifying legislation must be enacted into law in accordance with the applicable state’s constitutional and legal procedures. This generally requires final passage by the relevant state legislature and approval by the governor, becoming law without signature, or taking effect through a veto override or other lawful mechanism. Legislation that does not become law under the applicable state process, including vetoed bills that do not take effect, does not qualify.

The primary resolution sources for this market will be official state legislative trackers, governor’s office announcements, secretary of state records, and other official information from the relevant state government; however, a consensus of credible reporting may also be used.",,active,2026-09-06T16:39:07.380692Z,True,True,No,52528093922401828864992320625906381917436794029559801131325093448447639780612,0.2695,gamma_outcome_price,,,,"[""missing_orderbook""]",,,
polymarket,Will Kevin O'Leary's Utah Data Center project break ground in 2026?,2026-09-06T16:40:32.548534Z,"[""data_centers_ai_power""]","{""data_centers_ai_power"": [""data center""]}","[""data_center_reits"", ""electrical_equipment"", ""hyperscalers"", ""natural_gas"", ""semiconductors"", ""utilities""]",1,,2556362,0xa8721f012114889fd088a2fe088502d6b919230d149a12a94a1f48651cd2ae80,598651,,282.39733,USD_notional,,186.5069,USD,2027-01-01T04:59:00Z,"This market will resolve to ""Yes"" if the Stratos Project begins construction on a data center building or its supporting infrastructure, including grading, excavation, and site clearing, in Box Elder County, Utah by December 31, 2026, 11:59 PM ET. Otherwise this market will resolve to ""No.""

The primary resolution sources for this market will be official announcements from the Stratos Project, Box Elder County, or the State of Utah, however a consensus of credible reporting will also be used.",,active,2026-09-06T16:39:07.380692Z,True,True,Yes,84916554536862855452900474184216173164034611797950790646968030966919966933541,0.4,gamma_outcome_price,0.15,0.65,0.5,[],,,
polymarket,Will Kevin O'Leary's Utah Data Center project break ground in 2026?,2026-09-06T16:40:32.548534Z,"[""data_centers_ai_power""]","{""data_centers_ai_power"": [""data center""]}","[""data_center_reits"", ""electrical_equipment"", ""hyperscalers"", ""natural_gas"", ""semiconductors"", ""utilities""]",1,,2556362,0xa8721f012114889fd088a2fe088502d6b919230d149a12a94a1f48651cd2ae80,598651,,282.39733,USD_notional,,186.5069,USD,2027-01-01T04:59:00Z,"This market will resolve to ""Yes"" if the Stratos Project begins construction on a data center building or its supporting infrastructure, including grading, excavation, and site clearing, in Box Elder County, Utah by December 31, 2026, 11:59 PM ET. Otherwise this market will resolve to ""No.""

The primary resolution sources for this market will be official announcements from the Stratos Project, Box Elder County, or the State of Utah, however a consensus of credible reporting will also be used.",,active,2026-09-06T16:39:07.380692Z,True,True,No,63138722199582614586454570853213746782601756437680215667657130298853138268656,0.6,gamma_outcome_price,,,,"[""missing_orderbook""]",,,
polymarket,Will Data center utility cost protection become law this year?,2026-09-06T16:40:32.704625Z,"[""data_centers_ai_power"", ""us_politics""]","{""us_politics"": [""Congress"", ""Senate"", ""president"", ""presidential"", ""veto""], ""data_centers_ai_power"": [""data center""]}","[""data_center_reits"", ""electrical_equipment"", ""hyperscalers"", ""natural_gas"", ""policy_sensitive_sectors"", ""semiconductors"", ""utilities""]",2,,1426261,0xbcf92dd69e289a4bce83a086363bc7deeae3f8d3f0370e8f4b02cffdc7ac8b7e,227701,,132.4368,USD_notional,,8467.2746,USD,2026-12-31T00:00:00Z,"This market will resolve to ""Yes"" if legislation that prohibits data center power usage from increasing consumers' electric utility bills is passed by both chambers of the U.S. Congress and signed into law by December 31, 2026, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

Qualifying legislation includes the GRID Act (119th) — Guaranteeing Rate Insulation Act.

Qualifying legislation may include joint resolutions and must pass both the House and the Senate, and must be signed by the President, become law without signature while Congress remains in session, or become law through veto override. Presidential pocket vetoes that expire resolve to ""No"".

The primary resolution sources for this market will be Congress.gov’s legislation tracker (https://www.congress.gov/bill/119th-congress/house-bill/22), the Library of Congress (congress.gov), and other official information from the government of the United States; however, a consensus of credible reporting may also be used.",,active,2026-09-06T16:39:07.380692Z,True,True,Yes,67364872070729513952248372416960997464171329278717300714976959659612096064339,0.055,gamma_outcome_price,0.05,0.06,0.01,[],,,
polymarket,Will Data center utility cost protection become law this year?,2026-09-06T16:40:32.704625Z,"[""data_centers_ai_power"", ""us_politics""]","{""us_politics"": [""Congress"", ""Senate"", ""president"", ""presidential"", ""veto""], ""data_centers_ai_power"": [""data center""]}","[""data_center_reits"", ""electrical_equipment"", ""hyperscalers"", ""natural_gas"", ""policy_sensitive_sectors"", ""semiconductors"", ""utilities""]",2,,1426261,0xbcf92dd69e289a4bce83a086363bc7deeae3f8d3f0370e8f4b02cffdc7ac8b7e,227701,,132.4368,USD_notional,,8467.2746,USD,2026-12-31T00:00:00Z,"This market will resolve to ""Yes"" if legislation that prohibits data center power usage from increasing consumers' electric utility bills is passed by both chambers of the U.S. Congress and signed into law by December 31, 2026, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

Qualifying legislation includes the GRID Act (119th) — Guaranteeing Rate Insulation Act.

Qualifying legislation may include joint resolutions and must pass both the House and the Senate, and must be signed by the President, become law without signature while Congress remains in session, or become law through veto override. Presidential pocket vetoes that expire resolve to ""No"".

The primary resolution sources for this market will be Congress.gov’s legislation tracker (https://www.congress.gov/bill/119th-congress/house-bill/22), the Library of Congress (congress.gov), and other official information from the government of the United States; however, a consensus of credible reporting may also be used.",,active,2026-09-06T16:39:07.380692Z,True,True,No,101884315428159531578622338490275652903250658910147076869590075339264968331645,0.945,gamma_outcome_price,,,,"[""missing_orderbook""]",,,
kalshi,Will Democrats win the U.S. Senate in 2026? — Democratic Party,2026-09-06T16:39:06.256649Z,"[""midterms_2026"", ""us_politics""]","{""midterms_2026"": [""congressional race""], ""us_politics"": [""Congress"", ""Democrats"", ""Senate"", ""president""]}","[""broad_equities"", ""policy_sensitive_sectors""]",7,,CONTROLS-2026-D,,CONTROLS-2026,CONTROLS,3444582.39,contracts,10775.41,,,2027-02-01T15:00:00Z,"If the Democratic Party has won control of the U.S. Senate in 2026, then the market resolves to Yes.

This market may be determined early based on a consensus of media calls projecting control of the U.S. Senate. See full rules for details. Otherwise, victory will be determined by the party identification of the President pro tempore of the Senate on February 1, 2027.",,active,2026-07-14T16:41:24.081405Z,,,Yes,,0.475,yes_book_midpoint,0.47,0.48,0.01,"[""kalshi_liquidity_deprecated""]",Democratic Party,1717746.94,binary
kalshi,Will Republicans win the U.S. Senate in 2026? — Republican Party,2026-09-06T16:39:06.260647Z,"[""midterms_2026"", ""us_politics""]","{""midterms_2026"": [""congressional race""], ""us_politics"": [""Congress"", ""Republicans"", ""Senate"", ""president""]}","[""broad_equities"", ""policy_sensitive_sectors""]",7,,CONTROLS-2026-R,,CONTROLS-2026,CONTROLS,4563656.99,contracts,2128.08,,,2027-02-01T15:00:00Z,"If the Republican Party has won control of the U.S. Senate in 2026, then the market resolves to Yes.

This market may be determined early based on a consensus of media calls projecting control of the U.S. Senate. See full rules for details. Otherwise, victory will be determined by the party identification of the President pro tempore of the Senate on February 1, 2027.",,active,2026-07-14T16:41:24.087758Z,,,Yes,,0.525,yes_book_midpoint,0.52,0.53,0.01,"[""kalshi_liquidity_deprecated""]",Republican Party,2581866.22,binary
polymarket,Will the Democratic Party control the Senate after the 2026 Midterm elections?,2026-09-06T16:34:06.281640Z,"[""midterms_2026"", ""us_politics""]","{""midterms_2026"": [""congressional race"", ""control the Senate"", ""midterm"", ""midterms""], ""us_politics"": [""Congress"", ""Senate"", ""election"", ""midterm"", ""midterms"", ""president""]}","[""broad_equities"", ""policy_sensitive_sectors""]",7,,562793,0x307a1ed89d60b61002dd5bbf00e1408c5ed2ab3fcdb056191ca7ef9bc34d38f3,32224,,2455200.170739999,USD_notional,8641.518069,285391.4895,USD,2026-11-03T00:00:00Z,"This market will resolve according to the party that wins control of the United States Senate in the 2026 United States midterm election.

A party wins control of the United States Senate if it wins a majority of the chamber’s voting seats. If no party wins a majority of voting seats, the party that wins control of the chamber is the party that wins half of the voting seats and holds the Vice Presidency. If the outcome remains ambiguous after applying the above criteria, the chamber will be deemed controlled by the party with which the first selected President Pro Tempore of the Congress that convenes after the specified election is affiliated.

The following rules govern the counting of seats for determining which party wins control of the chamber.

All regular and special Senate elections that determine representation in the upcoming 120th Congress and are scheduled to take place in November 2026 as of October 31, 2026 are included. Runoffs for qualifying elections will determine attribution of the relevant seat, even if they take place after November 2026. Vacant seats for which no election or special election to fill the seat is scheduled to take place in November 2026 as of October 31, 2026 will be treated as held by the party affiliation of the most recent member to hold that seat.

For seats contested in the specified election, seats are attributed to the party under which the member was elected. If a member-elect changes party affiliation, or vacates their seat, between election day and the formal organization of Congress, the seat is attributed to the party under which the member was elected.

For seats not contested in the specified election, seats are attributed to the party that holds the seat as of the date of the election. If a current sitting member of the U.S. Senate who is not up for election changes party affiliation or vacates their seat after the date of the election, the seat is attributed to the party under which the member was affiliated at the time of the election.

Senate members elected as independents who formally caucus with, or, for newly elected members, who announce their intent to caucus with, a party are included in that party’s count. If the caucus decisions of members of the Senate elected as independents cannot be determined on the date of the election, this market may remain open until the earlier of (i) an announcement from the relevant members of their intents to caucus, or (ii) January 4th, 11:59 PM ET of the following calendar year. If no such announcement is made by January 4th, 11:59 PM ET of the following calendar year, the member will not count towards the seat count of any party.

The resolution sources for this market will be official information from relevant state electoral authorities, the United States Congress, and a consensus of credible reporting.",,active,2026-09-06T16:33:08.052952Z,True,True,Yes,113287701564209339913693347405685749986285999146352375265161592243948562084773,0.515,gamma_outcome_price,0.51,0.52,0.01,[],,,
polymarket,Will the Democratic Party control the Senate after the 2026 Midterm elections?,2026-09-06T16:34:06.281640Z,"[""midterms_2026"", ""us_politics""]","{""midterms_2026"": [""congressional race"", ""control the Senate"", ""midterm"", ""midterms""], ""us_politics"": [""Congress"", ""Senate"", ""election"", ""midterm"", ""midterms"", ""president""]}","[""broad_equities"", ""policy_sensitive_sectors""]",7,,562793,0x307a1ed89d60b61002dd5bbf00e1408c5ed2ab3fcdb056191ca7ef9bc34d38f3,32224,,2455200.170739999,USD_notional,8641.518069,285391.4895,USD,2026-11-03T00:00:00Z,"This market will resolve according to the party that wins control of the United States Senate in the 2026 United States midterm election.

A party wins control of the United States Senate if it wins a majority of the chamber’s voting seats. If no party wins a majority of voting seats, the party that wins control of the chamber is the party that wins half of the voting seats and holds the Vice Presidency. If the outcome remains ambiguous after applying the above criteria, the chamber will be deemed controlled by the party with which the first selected President Pro Tempore of the Congress that convenes after the specified election is affiliated.

The following rules govern the counting of seats for determining which party wins control of the chamber.

All regular and special Senate elections that determine representation in the upcoming 120th Congress and are scheduled to take place in November 2026 as of October 31, 2026 are included. Runoffs for qualifying elections will determine attribution of the relevant seat, even if they take place after November 2026. Vacant seats for which no election or special election to fill the seat is scheduled to take place in November 2026 as of October 31, 2026 will be treated as held by the party affiliation of the most recent member to hold that seat.

For seats contested in the specified election, seats are attributed to the party under which the member was elected. If a member-elect changes party affiliation, or vacates their seat, between election day and the formal organization of Congress, the seat is attributed to the party under which the member was elected.

For seats not contested in the specified election, seats are attributed to the party that holds the seat as of the date of the election. If a current sitting member of the U.S. Senate who is not up for election changes party affiliation or vacates their seat after the date of the election, the seat is attributed to the party under which the member was affiliated at the time of the election.

Senate members elected as independents who formally caucus with, or, for newly elected members, who announce their intent to caucus with, a party are included in that party’s count. If the caucus decisions of members of the Senate elected as independents cannot be determined on the date of the election, this market may remain open until the earlier of (i) an announcement from the relevant members of their intents to caucus, or (ii) January 4th, 11:59 PM ET of the following calendar year. If no such announcement is made by January 4th, 11:59 PM ET of the following calendar year, the member will not count towards the seat count of any party.

The resolution sources for this market will be official information from relevant state electoral authorities, the United States Congress, and a consensus of credible reporting.",,active,2026-09-06T16:33:08.052952Z,True,True,No,107118433685650702332040991454078902188473746599223732907923581436160160612542,0.485,gamma_outcome_price,,,,"[""missing_orderbook""]",,,
